title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Java Development,SunbaseData,Work From Home,Immediately,6,30000,No,Onsite,Urban,Software Development,"Java, OOP, Data Structures, Spring, Hibernate",03-10-25,BTech,0.8,5,Gujarati
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6,1500,Yes,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",02-10-25,BCom,1,23,Hindi
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",23-11-25,BA,0.2,2,Kannada
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",09-11-25,BBA,1,28,Tamil
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6,12000,Yes,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects, Photography, Lightroom",21-10-25,BA,1.1,7,Kannada
English Curriculum Writing,Team Everest,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy, Teaching, Lesson Planning",16-10-25,MTech,0.5,25,Punjabi
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6,5000,No,Remote,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",04-10-25,MA,1.1,15,Hindi
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6,7000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Communication, MS Excel",01-12-25,MCom,1,7,Hindi
Graphic Design,Expedify,Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",14-09-25,MCom,0.5,21,Malayalam
Campus Ambassador,Internshala,Work From Home,Not specified,6,2000,Yes,Onsite,Urban,Marketing,"Marketing, Communication, Networking, Leadership",30-09-25,BBA,1.1,22,Malayalam
Customer Support Management,ClearTax,Bangalore,Immediately,6,30000,No,Onsite,Urban,Marketing,"BPO, Customer Support, Communication, Call Handling",10-11-25,BBA,0.3,14,Kannada
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",25-10-25,MSc,1,27,Hindi
Office Operations,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",24-09-25,MBA,1.3,10,Hindi
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",16-10-25,MBA,0.3,9,Hindi
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",11-10-25,MTech,0,28,Hindi
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6,5000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",29-09-25,MBA,0.8,16,Marathi
