title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Java Development,SunbaseData,Work From Home,Immediately,6,30000,No,Onsite,Urban,Software Development,"Java, OOP, Data Structures, Spring, Hibernate",2025-10-03,BTech
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6,1500,Yes,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-10-02,BCom
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-11-23,BA
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-11-09,BBA
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6,12000,Yes,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects, Photography, Lightroom",2025-10-21,BA
English Curriculum Writing,Team Everest,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy, Teaching, Lesson Planning",2025-10-16,MTech
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6,5000,No,Remote,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-10-04,MA
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6,7000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Communication, MS Excel",2025-12-01,MCom
Graphic Design,Expedify,Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-09-14,MCom
Campus Ambassador,Internshala,Work From Home,Not specified,6,2000,Yes,Onsite,Urban,Marketing,"Marketing, Communication, Networking, Leadership",2025-09-30,BBA
Customer Support Management,ClearTax,Bangalore,Immediately,6,30000,No,Onsite,Urban,Marketing,"BPO, Customer Support, Communication, Call Handling",2025-11-10,BBA
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-25,MSc
Office Operations,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-09-24,MBA
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-16,MBA
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-11,MTech
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6,5000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-29,MBA
Customer Success,ClearTax,Bangalore,Immediately,6,20000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",2025-11-22,MBA
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6,1500,Yes,Hybrid,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",2025-10-28,BBA
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6,2000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-08,MCom
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6,2000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-26,MBA
Product Management,Saregama India Limited,Mumbai,Immediately,6,5000,Yes,Onsite,Rural,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",2025-12-03,BBA
